公司名称,公司代码,股票代码,报告日期,分类类型,主营构成,主营收入,收入比例,主营成本,成本比例,主营利润,利润比例,毛利率
安克创新,300866,300866,2016-02-29,按产品分类,移动电源产品,85046921.93,0.345837,41253065.19,0.373615,43793856.74,0.323201,0.514938
安克创新,300866,300866,2016-02-29,按产品分类,充电器产品,65450899.38,0.266151,29517968.23,0.267334,35932931.15,0.265187,0.549006
安克创新,300866,300866,2016-02-29,按产品分类,线头产品,45837345.23,0.186394,17969440.23,0.162743,27867905.0,0.205667,0.607974
安克创新,300866,300866,2016-02-29,按产品分类,保护支架产品,27878468.68,0.113366,10542055.31,0.095476,17336413.37,0.127944,0.621857
安克创新,300866,300866,2016-02-29,按产品分类,音频产品,20246417.83,0.082331,10397832.12,0.09417,9848585.71,0.072683,0.486436
安克创新,300866,300866,2016-02-29,按产品分类,其他零散产品,1456196.8,0.005922,735713.73,0.006663,720483.07,0.005317,0.49477
安克创新,300866,300866,2016-02-29,按地区分类,国外销售,242039710.77,0.984236,107344421.48,0.972181,134695289.29,0.99406,0.556501
安克创新,300866,300866,2016-02-29,按地区分类,国内销售,3876539.08,0.015764,3071653.33,0.027819,804885.75,0.00594,0.20763
安克创新,300866,300866,2015-12-31,按产品分类,移动电源产品,556205526.51,0.427141,292116556.23,0.472527,264088970.28,0.386118,0.474805
安克创新,300866,300866,2015-12-31,按产品分类,充电器产品,338825588.37,0.260203,161601484.2,0.261406,177224104.17,0.259115,0.523054
安克创新,300866,300866,2015-12-31,按产品分类,线头产品,190559063.63,0.146341,70368577.82,0.113828,120190485.81,0.175727,0.630726
安克创新,300866,300866,2015-12-31,按产品分类,保护支架产品,147092005.45,0.11296,56867949.26,0.09199,90224056.19,0.131914,0.613385
安克创新,300866,300866,2015-12-31,按产品分类,音频产品,63954887.25,0.049114,34542161.11,0.055875,29412726.14,0.043004,0.459898
安克创新,300866,300866,2015-12-31,按产品分类,其他零散产品,5522847.51,0.004241,2703576.6,0.004373,2819270.91,0.004122,0.510474
安克创新,300866,300866,2015-12-31,按地区分类,国外销售,1291939122.59,0.992151,610252559.8,0.987144,681686562.79,0.996677,0.527646
安克创新,300866,300866,2015-12-31,按地区分类,国内销售,10220796.13,0.007849,7947745.42,0.012856,2273050.71,0.003323,0.222395
安克创新,300866,300866,2014-12-31,按产品分类,移动电源产品,392990555.59,0.526764,248714898.93,0.542924,144275656.66,0.501054,0.367122
安克创新,300866,300866,2014-12-31,按产品分类,充电器产品,200791093.75,0.26914,126942008.6,0.277104,73849085.15,0.25647,0.367791
安克创新,300866,300866,2014-12-31,按产品分类,保护支架产品,104409910.08,0.139951,56238202.98,0.122763,48171707.1,0.167295,0.461371
